,chembl_id,IC50,units,canonical_smiles,pIC50
427,CHEMBL343875,165958.69,nM,CCOc1ccc2sc(SCc3cc(\C=C(/C#N)\C(=O)N)cc(OC)c3O)nc2c1,3.7800000019463225
5480,CHEMBL3746564,10690.0,nM,CC(Cn1c(C)ncc1[N+](=O)[O-])OC(=O)c2ccc(cc2)C3CC(=NN3C(=O)C)c4ccc(I)cc4,4.971022294791222
3471,CHEMBL1630107,2.5,nM,ONC(=O)\C=C\c1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2,8.602059991327963
3729,CHEMBL1830257,22360.0,nM,NC(=S)N\N=C(\C=C\c1ccccc1F)/c2ccccc2,4.650528200785614
5438,CHEMBL3742060,5430.0,nM,Cc1ccc(cc1)n2cc3c(nnc(C)c3n2)c4c(C)[nH]c(c5ccccc5)c4c6ccccc6,5.265200170411153
4126,CHEMBL2047017,2220.0,nM,ONC(=O)CCCCCC(=O)Nc1ccc(O)c(c1)C(=O)Nc2ccc(F)c(F)c2,5.653647025549361
310,CHEMBL57347,150.0,nM,CN1CCN(CCCNc2ncc3cc(c(NC(=O)NC(C)(C)C)nc3n2)c4c(Cl)cccc4Cl)CC1,6.823908740944319
2467,CHEMBL497804,14.0,nM,O[C@H]1CN[C@@H](C1)C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2,7.853871964321762
5110,CHEMBL3416594,8.0,nM,COc1ccccc1c2cc3c(NC(CO)c4ccccc4)ncnc3s2,8.096910013008056
5356,CHEMBL3699599,5.5,nM,COc1cc(ccc1Nc2ncc(Cl)c(Oc3cccc(NC(=O)C=C)c3)n2)N4CCN(CC4)C(=O)CC(C)(C)C,8.259637310505756
2632,CHEMBL336264,0.4266,nM,Brc1cccc(Nc2ncnc3cnc(cc23)S(=O)(=O)C=C)c1,9.369979148886591
557,CHEMBL553351,12.3,nM,Cl.[O-][N+](=O)c1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,7.910094888560602
5244,CHEMBL3622665,2.1,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CNC4CC4,8.67778070526608
4385,CHEMBL2333163,600.0,nM,O\N=C(/Cc1cc(Br)c(O)c(Oc2ccc(CCNC(=O)\C(=N\O)\Cc3cc(Br)c(O)c(c3)c4cc(C\C(=N/O)\C(=O)NCCc5ccc(O)c(Br)c5)cc(Br)c4O)cc2Br)c1)\C(=O)NCCc6ccc(O)c(Br)c6,6.221848749616356
4754,CHEMBL3218001,1300.0,nM,Nc1ccccc1NC(=O)\C=C\c2ccn(c2)S(=O)(=O)c3ccc4ncnc(Nc5cccc(c5)C#C)c4c3,5.886056647693163
3813,CHEMBL307145,1230.0,nM,Oc1cccc(O)c1O,5.910094888560602
641,CHEMBL555201,100.0,nM,Cl.COc1cc2ncnc(Nc3ccc(O)cc3)c2cc1OC,7.0
2126,CHEMBL403435,18.0,nM,Cc1cc(Nc2ncnc3[nH]nc(OCCN4CCC(O)CC4)c23)ccc1OCc5ccccn5,7.7447274948966935
852,CHEMBL306732,94.0,nM,CN(C)c1ccc(Nc2ncnc3cc(sc23)c4ccccc4)cc1,7.026872146400302
3186,CHEMBL1172917,6850.0,nM,NC(=S)N1N=C(CC1c2ccc(Br)cc2)c3ccc(Cl)c(Cl)c3,5.164309428507575
5262,CHEMBL3622642,133.9,nM,CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(OCc4cccc(F)c4)cc3)ncnc2cc1O[C@H]5CCOC5,6.873219422987991
2764,CHEMBL453336,14000.0,nM,COc1cc(cc(OC)c1OC)C2=C(CNC2=O)c3cn(COCc4ccccc4)c5ccccc35,4.853871964321762
2518,CHEMBL473553,63.0,nM,COc1cc2ncnc(Nc3ccc(c(OC)c3)c4nc5ccccc5s4)c2cc1OC,7.200659450546418
1672,CHEMBL200976,2800.0,nM,COC(=O)c1c(OCCN2CCCCC2)c3ccccc3c4oc5C(=O)c6ccccc6C(=O)c5c14,5.552841968657781
1966,CHEMBL231875,90.0,nM,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CN6CCNCC6)c45)ccc23)c1,7.045757490560675
1154,CHEMBL53555,0.77,nM,Fc1ccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)cc1Cl,9.113509274827518
108,CHEMBL86531,29100.0,nM,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCC(=O)O)\c2c1,4.536107011014093
3609,CHEMBL110055,616.6,nM,COc1cc2ncc(C#N)c(Nc3ccc(Br)c(C)c3)c2cc1OC,6.209996479609511
2948,CHEMBL602728,90.0,nM,ClCCN(CCCl)c1ccc(cc1)C(=O)Nc2cccc3ccccc23,7.045757490560675
1492,CHEMBL119982,870.0,nM,Clc1cccc(Nc2[nH]nc3ncnc(NCc4ccccc4)c23)c1,6.060480747381382
828,CHEMBL421326,4.0,nM,OCCOCCNCc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2,8.397940008672037
11,CHEMBL304271,0.45,nM,CCN(CC)CC(O)CNC(=O)c1cc(C)c(\C=C\2/C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c23)[nH]1,9.346787486224656
3340,CHEMBL1241439,5960.0,nM,CC(C)n1nc(c2occ(C=O)c2)c3c(N)ncnc13,5.2247537402597635
2641,CHEMBL474342,0.912,nM,FC(F)(F)c1cccc(NC2=NC=NC3=CC=C(NC(=O)C=C)C23)c1,9.040005161671584
1867,CHEMBL214419,91.0,nM,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(c5)C(F)(F)F)cc4)c3c2,7.040958607678906
1538,CHEMBL307062,820.0,nM,Cc1cccc(Nc2ncnc3[nH]c4CCCCc4c23)c1,6.086186147616283
894,CHEMBL22978,797.0,nM,CN1CCC(O)(CC1)c2oc(c3ccncc3)c(n2)c4ccc(F)cc4,6.098541678603888
1545,CHEMBL307599,2100.0,nM,Cc1ccc(Nc2ncnc3[nH]c(C)c(C)c23)cc1,5.6777807052660805
2612,CHEMBL454371,1.585,nM,Brc1cccc(Nc2ncnc3ccc(CC(=O)C=C=C)cc23)c1,8.79997073344623
1699,CHEMBL91867,0.2,nM,CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.698970004336019
5512,CHEMBL3754709,317.12,nM,COc1cc(NC(=O)Nc2nccs2)cc(c1OC)c3cccnc3,6.498776367194819
6382,CHEMBL2178352,0.4,nM,CN1CCN(CC1)c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C6CCCC6)c4n3)cc2,9.397940008672037
4418,CHEMBL2333986,10000.0,nM,COc1cc2ncnc(Nc3ccccc3C(F)(F)F)c2cc1OC,5.0
1469,CHEMBL56281,225000.0,nM,N#CC(=Cc1cccnc1)C#N,3.6478174818886373
1497,CHEMBL56964,60000.0,nM,COc1cc2C(=C(C#N)C#N)C(=O)Nc2cc1O,4.221848749616356
6627,CHEMBL4095195,50000.0,nM,Cc1ccccc1Cc2oc(Cc3nc4ccccc4[nH]3)nn2,4.301029995663981
2407,CHEMBL490775,7000.0,nM,C[C@H](NC(=O)[C@H](C)NC(=O)c1ccc(cc1)S(=O)(=O)Oc2ccc(\C=C\[N+](=O)[O-])cc2)C(=O)O,5.154901959985743
304,CHEMBL1242973,590000.0,nM,COC(=O)[C@@]1(Cc2ccc(O)c(CC=C(C)C)c2)OC(=O)C(=C1c3ccc(O)cc3)O,3.2291479883578558
882,CHEMBL173453,1400.0,nM,Nc1ncnc2c1c(cn2c3ccc(CNCCO)cc3)c4ccccc4,5.853871964321762
2828,CHEMBL488271,9900.0,nM,CNC(=N)SCCCN1C(=O)C2=C(C1=O)n3c(cc4ccccc34)c5cccc6ccn2c56,5.00436480540245
176,CHEMBL335440,93.5,nM,OCCS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.029188389127482
4795,CHEMBL3234866,270.0,nM,COc1ccc(Oc2nc3ccccc3cc2\C=N\NC(=O)Cn4c(C)ncc4[N+](=O)[O-])cc1,6.568636235841013
6440,CHEMBL3894102,272.9,nM,Nc1ncnc2c1c(nn2[C@@H]3CC[C@@H](CC3)NC(=O)\C=C\CN4CCOCC4)c5ccc(Oc6ccccc6)cc5,6.563996464330104
545,CHEMBL53753,0.008,nM,CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,11.096910013008056
5948,CHEMBL3908272,86.0,nM,O=S(=O)(Nc1ncccn1)c2ccc(Nc3nncc4ccccc34)cc2,7.0655015487564325
203,CHEMBL448154,490.0,nM,CCN1C(=O)C(=Cc2cnc(Nc3ccncc3)nc12)c4c(Cl)cccc4Cl,6.309803919971486
1405,CHEMBL54788,44.0,nM,Fc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.356547323513812
2684,CHEMBL126137,39.81,nM,CN(C)CCN(C)c1cc2ncnc(Nc3cccc(Br)c3)c2cn1,7.400007822415902
